TrnType,TerminalGroupId,BasePrefix,Suffix,OPId,Srlno,IsActive
2100,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
11,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
1300,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
31,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
1600,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
24,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
13,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
23,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
25,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
9100,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
9200,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
9300,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
9700,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
9800,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
9900,"<<ALLNODE>>","<CTRLPX>","<<9999>>",99,9999,1
31,"<<ALLNODE>>","R","26",1,1,1
13,"<<ALLNODE>>","CR","26",1,1,1
23,"<<ALLNODE>>","CP","26",1,1,1
25,"<<ALLNODE>>","VR","26",1,1,1
9100,"<<ALLNODE>>","R","26",1,1,1
9200,"<<ALLNODE>>","R","26",1,1,1
9300,"<<ALLNODE>>","R","26",1,1,1
9700,"<<ALLNODE>>","R","26",1,1,1
9800,"<<ALLNODE>>","R","26",1,1,1
9900,"<<ALLNODE>>","R","26",1,1,1
