000008	Allow Blank Size	AllowBlankSize
000011	Extended Item Description applicable	ExtItemDescPresent
000014	Shoper Opening Date	SHOPERSysDt
000015	Shoper System Status	SHOPERSysStat
00001A	Item Classification1 Caption	ItemClass1Cap
00001B	Item Classification1 Code is Generated	ItemClass1CdGen
00002A	Item Classification2 Caption	ItemClass2Cap
00002B	Item Classification2 Code is Generated	ItemClass2CdGen
000032	Multi Location Installation	MultiLocationsPresent
000032B	Allow Selection of Prefix from a list of document prefixes in Billing	MultiplePfxSelectionAllowedInBilling
000033	Default Location for Billing	DefaultLocationId
000034	Partial Receipt Against Purchase Orders Allowed	AllowPurchOrdPartRcpt
00003A	Item Sub-Classification1 Present	ItemSubClass1Present
00003B	Item Sub-Classification1 Caption	ItemSubClass1Cap
000040	Customer Code User Assigned	IsCustCodeAssigned
00004A	Item Sub-Classification2 Present	ItemSubClass2Present
00004B	Item Sub-Classification2 Caption	ItemSubClass2Cap
00004C	Allow insertions to Sub-Classification2(Shade) on the fly	AllowNewSubClass2
00005A	Item Size/Pack/UOM Present	ItemSizePresent
00005B	Item Size/Pack/UOM Caption	ItemSizeCap
00005C	Allow insertion of new Item Size on the fly	AllowNewSize
00006A	Sub-classification1 (Style) unique across Classification1 (Product) and Classification2 (Brand)	ItemSubClass1IsUnique
00006B	Maintain look-up for Sub-classification1(Style)	ItemSubClass1HasCat
00006C	Minimum Length of Sub-classification1(Style)	ItemSubClass1MinLen
00006D	Max Length of Sub-classification1(Style)	ItemSubClass1MaxLen
00006E	Allow Insertions to Sub-classification1(Style) on the fly	AllowNewSubClass1
00006F	Allow Blank Sub-classification1(Style)	AllowBlankSubClass1
00007A	Maintain Sub-classification2(Shade) Catalogue	ItemSubClass2HasCat
00007B	Sub-classification2(Shade) Unique across Classification1 (Product) and Classification2 (Brand)	ItemSubClass2IsUnique
00007C	Allow Blank Sub-classification2(Shade)	AllowBlankSubClass2
00009A	Retail Price Applicable Y/N	RetailPricePresent
00009B	Allow Billing at Retail Price Y/N	AllowRetailBilling
00009C	Retail Price is Tax Inclusive	IsRetailPriceTaxInc
00010A	Dealer Price Applicable Y/N	DlrPricePresent
00010B	Allow Billing at Dealer Price Y/N	AllowWSBilling
00012A	Shoper Company Code	CompanyCode
00012B	Shoper Company Name	CompanyName
00012C	State (Local) Sales Tax Registration Number	LocalSTaxRegnNo
00012D	Central (Federal) Sales Tax Registration Number	CentralSTaxRegnNo
00013A	Shoper IN Files Path	InFilesPath
00013B	Shoper Profile Files Path	ProfileFilesPath
000150	Billing Stationery Type	BillFormType
00016A	Size Groups Applicable	SizeGroupsPresent
00016B	Size Group Look-Up Rec Id	SizeGroupRecId
00018A	Batch Serial Number Applicable	BatchSrlNoPresent
00018B	Allow Blank Batch Serial Number	AllowBlankBatchSrl
00018C	Can Price Vary between Batch Serial Numbers	BatchSrlDiffPrice
00018D	Maintain Batch Serial No. in Stock Transaction Summary	StkTrnSumHasBatchSrl
00019A	Customer Classification1 Applicable	CustClass1Present
00019B	Customer Classification1 Caption	CustClass1Cap
