"Id","Descr","ParamCode","Boolean","Intg","Txt","Dt","Sng","Cur","Opt","VAUid","VActr","VATermId","VACompCode","Fixed","Changed","Category","CatDescr","DispOrder","WZ","WZType","WZOrder"
"SR5-0702-0000164","Flat File Party Code Based on Franchise Code","InFlatFilePartyCdBasedOnFranchCdOrCompCd",0,1,,,0.00,0.00,"I","Super",1,".",,"Variable","7","17. House Keeping","This Gives House Keeping Parameters",5,0,"17. House Keeping",0
"SR6-0702-0000165","SMRITI Image File Path","SMRITIImageFilePath",0,0,"C:\SMRITI72\Images",,0.00,0.00,"T","Super",1,".",,"Variable","0","04. Item Master","This Gives Item Master Parameters",4,0,"04. Item Master",0
"SR1-0702-0000166","Tolerance for Tax Rate in Inward and Outward","ToleranceTaxRate",0,0,,,0.05,0.00,"S","Super",1,".",,"Variable","7","09. Inwards","This Gives Inwards Parameters",19,0,"09. Inwards",0
"SR1-0702-0000167","Print Preview","PrintPreview",0,1,,,0.00,0.00,"I","Super",1,".",,"Variable","7","14. Bill - Printing","This Gives Bill - Printing Parameters",45,0,"14. Bill - Printing",0
"SR5-0702-0000168","Export Entire Stock Transaction Summary in Day End Process","ExportEntireStkTrnSummaryForDayEnd",0,0,"0",,0.00,0.00,"T","Super",1,".",,"Variable","7","17. House Keeping","This Gives House Keeping Parameters",6,0,"17. House Keeping",0
"SR5-0702-0000170","No. of Days Backup to be Preserved","NoOfDaysBackupToBePreserved",0,7,,,0.00,0.00,"I","Super",1,".",,"Variable","7","17. House Keeping","This Gives House Keeping Parameters",13,0,"17. House Keeping",0
"SR1-0702-0000171","Use Common Prefix for Billing Across All Terminals ","CommonPrefixusedAcrossAllterminals",0,0,,,0.00,0.00,"B","Super",1,".",,"Variable","7","11. Billing","This Gives Billing Parameters",22,0,"11. Billing",0
"SR1-0702-0000172","Item Level Net Amt Calculation Requried","ItemLvlNetAmtCalcReq",0,0,,,0.00,0.00,"B","Super",1,".",,"Variable","7","11. Billing","This Gives Billing Parameters",24,0,"11. Billing",0
"SR6-0730-000196A","Item Analysis Code6 Present","ItemAnaCd6Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",28,0,"03. Item Classification",0
"SR6-0730-000196B","Item Analysis Code6 Caption","ItemAnaCd6Caption",0,0,"AC6",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",29,0,"03. Item Classification",0
"SR6-0730-000196C","Item Analysis Code6 Look-up Rec Id","ItemAnaCd6RecId",0,7000,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",32,0,"03. Item Classification",0
"SR6-0730-000197A","Item Analysis Code7 Present","ItemAnaCd7Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",30,0,"03. Item Classification",0
"SR6-0730-000197B","Item Analysis Code7 Caption","ItemAnaCd7Caption",0,0,"AC7",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",31,0,"03. Item Classification",0
"SR6-0730-000197C","Item Analysis Code7 Look-up Rec Id","ItemAnaCd7RecId",0,7001,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",35,0,"03. Item Classification",0
"SR6-0730-000198A","Item Analysis Code8 Present","ItemAnaCd8Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",32,0,"03. Item Classification",0
"SR6-0730-000198B","Item Analysis Code8 Caption","ItemAnaCd8Caption",0,0,"AC8",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",33,0,"03. Item Classification",0
"SR6-0730-000198C","Item Analysis Code8 Look-up Rec Id","ItemAnaCd8RecId",0,7002,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",38,0,"03. Item Classification",0
"SR6-0730-000199A","Item Analysis Code9 Present","ItemAnaCd9Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",34,0,"03. Item Classification",0
"SR6-0730-000199B","Item Analysis Code9 Caption","ItemAnaCd9Caption",0,0,"AC9",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",35,0,"03. Item Classification",0
"SR6-0730-000199C","Item Analysis Code9 Look-up Rec Id","ItemAnaCd9RecId",0,7003,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",41,0,"03. Item Classification",0
"SR6-0730-000200A","Item Analysis Code10 Present","ItemAnaCd10Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",36,0,"03. Item Classification",0
"SR6-0730-000200B","Item Analysis Code10 Caption","ItemAnaCd10Caption",0,0,"AC10",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",37,0,"03. Item Classification",0
"SR6-0730-000200C","Item Analysis Code10 Look-up Rec Id","ItemAnaCd10RecId",0,7004,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",44,0,"03. Item Classification",0
"SR6-0730-000201A","Item Analysis Code11 Present","ItemAnaCd11Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",38,0,"03. Item Classification",0
"SR6-0730-000201B","Item Analysis Code11 Caption","ItemAnaCd11Caption",0,0,"AC11",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",39,0,"03. Item Classification",0
"SR6-0730-000201C","Item Analysis Code11 Look-up Rec Id","ItemAnaCd11RecId",0,7005,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",47,0,"03. Item Classification",0
"SR6-0730-000202A","Item Analysis Code12 Present","ItemAnaCd12Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",40,0,"03. Item Classification",0
"SR6-0730-000202B","Item Analysis Code12 Caption","ItemAnaCd12Caption",0,0,"AC12",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",41,0,"03. Item Classification",0
"SR6-0730-000202C","Item Analysis Code12 Look-up Rec Id","ItemAnaCd12RecId",0,7006,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",50,0,"03. Item Classification",0
"SR6-0730-000203A","Item Analysis Code13 Present","ItemAnaCd13Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",42,0,"03. Item Classification",0
"SR6-0730-000203B","Item Analysis Code13 Caption","ItemAnaCd13Caption",0,0,"AC13",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",43,0,"03. Item Classification",0
"SR6-0730-000203C","Item Analysis Code13 Look-up Rec Id","ItemAnaCd13RecId",0,7007,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",53,0,"03. Item Classification",0
"SR6-0730-000204A","Item Analysis Code14 Present","ItemAnaCd14Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",44,0,"03. Item Classification",0
"SR6-0730-000204B","Item Analysis Code14 Caption","ItemAnaCd14Caption",0,0,"AC14",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",45,0,"03. Item Classification",0
"SR6-0730-000204C","Item Analysis Code14 Look-up Rec Id","ItemAnaCd14RecId",0,7008,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",56,0,"03. Item Classification",0
"SR6-0730-000205A","Item Analysis Code15 Present","ItemAnaCd15Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",46,0,"03. Item Classification",0
"SR6-0730-000205B","Item Analysis Code15 Caption","ItemAnaCd15Caption",0,0,"AC15",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",47,0,"03. Item Classification",0
"SR6-0730-000205C","Item Analysis Code15 Look-up Rec Id","ItemAnaCd15RecId",0,7009,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",59,0,"03. Item Classification",0
"SR6-0730-000206A","Item Analysis Code16 Present","ItemAnaCd16Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",48,0,"03. Item Classification",0
"SR6-0730-000206B","Item Analysis Code16 Caption","ItemAnaCd16Caption",0,0,"AC16",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",49,0,"03. Item Classification",0
"SR6-0730-000206C","Item Analysis Code16 Look-up Rec Id","ItemAnaCd16RecId",0,7010,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",62,0,"03. Item Classification",0
"SR6-0730-000207A","Item Analysis Code17 Present","ItemAnaCd17Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",50,0,"03. Item Classification",0
"SR6-0730-000207B","Item Analysis Code17 Caption","ItemAnaCd17Caption",0,0,"AC17",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",51,0,"03. Item Classification",0
"SR6-0730-000207C","Item Analysis Code17 Look-up Rec Id","ItemAnaCd17RecId",0,7011,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",65,0,"03. Item Classification",0
"SR6-0730-000208A","Item Analysis Code18 Present","ItemAnaCd18Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",52,0,"03. Item Classification",0
"SR6-0730-000208B","Item Analysis Code18 Caption","ItemAnaCd18Caption",0,0,"AC18",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",53,0,"03. Item Classification",0
"SR6-0730-000208C","Item Analysis Code18 Look-up Rec Id","ItemAnaCd18RecId",0,7012,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",68,0,"03. Item Classification",0
"SR6-0730-000209A","Item Analysis Code19 Present","ItemAnaCd19Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",54,0,"03. Item Classification",0
"SR6-0730-000209B","Item Analysis Code19 Caption","ItemAnaCd19Caption",0,0,"AC19",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",55,0,"03. Item Classification",0
"SR6-0730-000209C","Item Analysis Code19 Look-up Rec Id","ItemAnaCd19RecId",0,7013,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",71,0,"03. Item Classification",0
"SR6-0730-000210A","Item Analysis Code20 Present","ItemAnaCd20Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",56,0,"03. Item Classification",0
"SR6-0730-000210B","Item Analysis Code20 Caption","ItemAnaCd20Caption",0,0,"AC20",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",57,0,"03. Item Classification",0
"SR6-0730-000210C","Item Analysis Code20 Look-up Rec Id","ItemAnaCd20RecId",0,7014,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",74,0,"03. Item Classification",0
"SR6-0730-000211A","Item Analysis Code21 Present","ItemAnaCd21Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",58,0,"03. Item Classification",0
"SR6-0730-000211B","Item Analysis Code21 Caption","ItemAnaCd21Caption",0,0,"AC21",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",59,0,"03. Item Classification",0
"SR6-0730-000211C","Item Analysis Code21 Look-up Rec Id","ItemAnaCd21RecId",0,7015,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",77,0,"03. Item Classification",0
"SR6-0730-000212A","Item Analysis Code22 Present","ItemAnaCd22Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",60,0,"03. Item Classification",0
"SR6-0730-000212B","Item Analysis Code22 Caption","ItemAnaCd22Caption",0,0,"AC22",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",61,0,"03. Item Classification",0
"SR6-0730-000212C","Item Analysis Code22 Look-up Rec Id","ItemAnaCd22RecId",0,7016,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",80,0,"03. Item Classification",0
"SR6-0730-000213A","Item Analysis Code23 Present","ItemAnaCd23Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",62,0,"03. Item Classification",0
"SR6-0730-000213B","Item Analysis Code23 Caption","ItemAnaCd23Caption",0,0,"AC23",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",63,0,"03. Item Classification",0
"SR6-0730-000213C","Item Analysis Code23 Look-up Rec Id","ItemAnaCd23RecId",0,7017,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",83,0,"03. Item Classification",0
"SR6-0730-000214A","Item Analysis Code24 Present","ItemAnaCd24Present",0,0,,,0.00,0.00,"B","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",64,0,"03. Item Classification",0
"SR6-0730-000214B","Item Analysis Code24 Caption","ItemAnaCd24Caption",0,0,"AC24",,0.00,0.00,"T","Super",1,".",,"One Time","7","03. Item Classification","This Gives Item Classification Parameters",65,0,"03. Item Classification",0
"SR6-0730-000214C","Item Analysis Code24 Look-up Rec Id","ItemAnaCd24RecId",0,7018,,,0.00,0.00,"I","Super",1,".",,"Hidden","7","03. Item Classification","This Gives Item Classification Parameters",86,0,"03. Item Classification",0
