TableName,RowCounts
PrefixTrnLog,454718
PrefixDocLog,227359
TRNStockAudit,173081
StockTrnSummary,155135
POSActivityLogHdr,134929
LogAgentActivity,82029
PhyStockTakingItemBkUp,53843
PtInvoiceDtl,42373
StkTrnDtls,42127
StockMaster,40117
ItemMaster,40117
SaleTrnHdr,36109
POSCashTrn,16647
StkTrnHdr,16487
PhyStockTakingItemBkUp01,13476
POSActivityLogDtls,10730
SubClass1Cat,9372
DownloadParams,7705
LogDataSync,6275
LogDataExtractsummary,6135
EventExtnFieldConfig,4320
ExportGenLookUp,4152
GenLookUp,2865
SubClass2Cat,2776
AcceptDisplayDtls,2349
ExportSysparam,2171
SysParamLookUp,1839
BaseCompTemplate,1669
SizeCat,1571
Errole,1410
StkTrnAddlHdr,1296
TransactionComponentsDtls,1169
ShoperScriptUpdateInfo,1165
SysParam,1059
SysParamExtd,1040
TallyPrintConfigDetails,765
PriceRevisionHistory,627
MailingList,531
ExtdMailingList,526
VersionwiseTblsScript,512
Customers,436
PrefixTrnNo,327
PrefixMaster,326
BrowseSettings,203
ActualScheduleTask,198
logdbtuningconfig,181
Class12Combo,151
SizeEntryFieldsConfig,136
ItemMasterConfig,126
ItemReClassConfig,123
TempIMConfigDefValsuper,101
GenLookupExtd,86
Personnel,83
dbtuningconfig,80
ExtensionConfigTable,78
PaymodeAcceptDisplayDtls,75
logtrnsctrlno,70
SPDefSettings,62
DashBoardConfig,60
PrintLinkedRefLookUp,55
PrefixConfig,49
PtInvoiceHdr,41
PDTFieldConfig,39
PrintNodeTrnConfigMaster,35
TillAcceptDisplaydtls,33
LstLoadedDtls,32
HotKeys,29
TallyPrintConfigHeader,28
TempIMConfigsuper,25
PriceRangeSettings,25
VersionDtls,23
AgentActivity,21
Poslstloadeddtls,20
PromoMnIntermediate,17
ReportDates,17
PrintLinkedRefInterface,16
PrintRendererMaster,13
PayModeConfig,13
CatalogSettings,13
PurchOrdDtl,12
PrintBusinessHandlerMaster,11
PromoLogHeader,10
PrintConfigSetting,9
SalesTaxRevisionHistory,9
ChainStores,8
CurrencyDenomination,7
POSPayModes,7
PgmWiseFeatureDtls,6
ExciseDutyComponents,5
ReportConfigPreferences,5
SalesTaxCat,4
ExpectedTrnDtls,4
ExpectedTrnHdr,3
FeatureIntroDtls,3
AgencyCatDtl,3
PurchOrdHdr,3
PurchaseTaxCat,3
PrintConfigSettingMaster,3
PrefixTerminalGroups,3
PriceRevision,2
PromoMnItemLvlDiscDtls,2
PromoMnApplCustDtls,2
PromoMnBuyItemGrpDtls,2
PromoMnHeader,2
DayEndPgms,2
FranchiseeTrans,2
Franchiselstloadeddtls,2
paymodeacceptconfig,2
PayTermsCat,1
CurrencyCat,1
Datasyncconfig,1
DayBeginPgms,1
CustPriceGroups,1
COMPAREQTY,1
AgencyCatHdr,1
PurgeLogHdr,1
PrintTemplateConfigDtls,1
UserWiseItemConfig,1
VendorItems,1
Vendors,1
TripSheetDtls,0
TripSheetHdr,0
TripSheetStatusDtls,0
TempItemMastersuper,0
TempPriceRevisionsuper,0
TillOperationJournalDtls,0
TillOperationJournalHdr,0
TillShiftdtls,0
TillTrnswiseDenomination,0
StockCreditNote,0
StockMasterExtd,0
StockMasterExtd01,0
StockMasterExtd02,0
StockMasterExtdOpBal,0
TallyExportedTrans,0
TallyHSNRules,0
TallyMapPurchTaxCat,0
TallyMapSettingInfo,0
TallyMasterInfo,0
TallyPostingSettings,0
TallyVchInfo,0
WalkIn,0
PromoArApplCustDtls,0
PromoArBillLvlDiscDtls,0
PromoArBuyItemGrpDtls,0
PromoArGetItemGrpDtls,0
PromoArHeader,0
PromoArItemLvlDiscDtls,0
PromoArShowroomDtls,0
PromoLogApplCustDtls,0
PromoLogBillLvlDiscDtls,0
PromoLogBuyItemGrpDtls,0
PromoLogGetItemGrpDtls,0
PriceLoadingLog,0
PriceRange,0
PriceRangeCatDtls,0
PromoMnGetItemGrpDtls,0
PromoMnBillLvlDiscDtls,0
PromoMnShowroomDtls,0
PtBrowsesuper,0
PromoLogItemLvlDiscDtls,0
PromoLogShowroomDtls,0
ReportConfigSettings,0
SalesTaxRevision,0
RptSelFileName,0
SalesFactors,0
PurchOrdConfig,0
PtInvoiceExtd01,0
PurchOrdTrl,0
PurchPlan,0
PurgeLogDtls,0
StkTrnAddlDtls,0
StkTrnDtlsExtd01,0
StkTrnEDDtls,0
StkTrnEDhdr,0
ShrmScript,0
ShrmScriptExtd,0
SISStatus,0
SchemesDefinitionDtls,0
SchemesDefinitionHdr,0
SchemesPointsSlabs,0
SeasonsMaster,0
SeasonsMasterLog,0
BaleDtl,0
AdditionalChargeDtls,0
AccountsMaster,0
AccountSummary,0
Class12LocWise,0
CommConfig,0
BillDueStatusDtls,0
BillDueStatusHdr,0
BillPassdtls,0
BillPassHdr,0
ConFinSchemeDtls,0
crdtinvrcvdtls,0
crdtinvrcvhdr,0
crdtsalecustopbal,0
CRMFinalCustomer,0
CRMQryInfo,0
CrmQryStruc,0
CustomerImport,0
franmismatchlog,0
ExtnPartnerInfo,0
FactorHeader,0
FileLoadingStatus,0
FilesFromHO,0
franchiseelog,0
ExtensionConfigExternal,0
ExtensionConfigInfo,0
ExtensionConfigInternal,0
ExptTrnDtlsExtd01,0
ExtdItemMaster,0
ExpectedTrnRcpts,0
ExciseDutyDtls,0
ExpectedTrnAddonDed,0
EventExtnKeyValueConfig,0
ExchangeOldItems,0
DcRefNoDtls,0
DeliveryAdviceDtls,0
DeliveryAdviceHdr,0
DeliveryNoteDtls,0
DeliveryNoteDtlsExtd01,0
DeliveryNoteHdr,0
DiscountDtls72,0
PCBillDtls,0
PHYSTKDL,0
PhyStkDtls,0
PhyStkDtlsExtd01,0
PhyStkHdr,0
PaymodeAcceptDisplayDtlsextd,0
logwgsync,0
LogTilldtls,0
PosModeBalances,0
POSMODEDATADTLS,0
PersonnelShrmWise,0
PosCashTrnExtd01,0
PhyStockTakingItemBkUp02,0
PhyTmpStkDtlsSumm,0
PhyTmpStkTrnDtls,0
PhyTmpStkTrnDtlsExtd01,0
PhyTmpStockTakingItem,0
PhyTmpStockTakingItemExtd01,0
PhyTmpStockTakingProgressSumm,0
PhyTmpStockTakingSC,0
IncDefTable,0
IncentiveGrpItemDtls,0
IncShrmPeriodDtls,0
InfoTable,0
IniLoadingErrorLog,0
InPackSlipHdr,0
InPackSlipTrn,0
ItemClassRestrict,0
ItemMapping,0
ItemMappingRules,0
ItemReClassDtls,0
ItemReClassHeader,0
ItemsFromHO,0
ItemTagConfig,0
ItemTagConfigFromHO,0
ItemTagDtls,0
KPIDtls,0
GS1Dtls,0
LogDataExtractDetail,0
ItemMasterExtd01,0
ItemMasterLog,0
MessageCentre,0
MessageCentreLog,0
Mismatchvalue,0
MissingDocNo,0
MonthSummary,0
MultiplePrices,0
ONACCcrdtntLinktbldtls,0
ONACCcrdtntLinktblhdr,0
