TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
AcceptDisplayDtls,trntype,int,,NO
AcceptDisplayDtls,Index,int,,NO
AcceptDisplayDtls,AcptCap,varchar,50,YES
AcceptDisplayDtls,DispCap,varchar,50,YES
AcceptDisplayDtls,AcptVisible,bit,,YES
AcceptDisplayDtls,DispVisible,bit,,YES
AcceptDisplayDtls,AcptPos,int,,YES
AcceptDisplayDtls,DispPos,int,,YES
AcceptDisplayDtls,AcptDataType,int,,YES
AcceptDisplayDtls,DispDataType,int,,YES
AcceptDisplayDtls,AcptWidth,real,,YES
AcceptDisplayDtls,DispWidth,real,,YES
AcceptDisplayDtls,AcptAlign,int,,YES
AcceptDisplayDtls,DispAlign,int,,YES
AcceptDisplayDtls,AcptFontName,varchar,50,YES
AcceptDisplayDtls,DispFontName,varchar,50,YES
AcceptDisplayDtls,AcptFourColour,varchar,50,YES
AcceptDisplayDtls,DispFourColour,varchar,50,YES
AcceptDisplayDtls,AcptFontSize,real,,YES
AcceptDisplayDtls,DispFontSize,real,,YES
AcceptDisplayDtls,AcptRowHight,real,,YES
AcceptDisplayDtls,DispRowHight,real,,YES
AcceptDisplayDtls,AcptBackColour,varchar,50,YES
AcceptDisplayDtls,DispBackColour,varchar,50,YES
AcceptDisplayDtls,VAUid,varchar,32,YES
AcceptDisplayDtls,VActr,int,,YES
AcceptDisplayDtls,VATermId,varchar,32,YES
AcceptDisplayDtls,VACompCode,varchar,16,YES
AcceptDisplayDtls,columnName,varchar,50,YES
AcceptDisplayDtls,FieldInd,int,,YES
AcceptDisplayDtls,CustmTableName,varchar,64,YES
AcceptDisplayDtls,LinkId,int,,YES
AcceptDisplayDtls,AcptFontBold,bit,,YES
AcceptDisplayDtls,DispFontBold,bit,,YES
ItemMaster,StockNo,varchar,32,NO
ItemMaster,BatchSrlNo,varchar,16,NO
ItemMaster,Class1Cd,varchar,16,YES
ItemMaster,Class2Cd,varchar,16,YES
ItemMaster,SubClass1Cd,varchar,16,YES
ItemMaster,SubClass2Cd,varchar,16,YES
ItemMaster,SizeCd,varchar,16,YES
ItemMaster,LeastSalableQty,money,,YES
ItemMaster,UseJwlPricing,bit,,YES
ItemMaster,Retail_Price,money,,YES
ItemMaster,Dealer_Price,money,,YES
ItemMaster,ProdTaxType,varchar,16,YES
ItemMaster,SrcTaxType,varchar,16,YES
ItemMaster,IsInventoryItem,bit,,YES
ItemMaster,IsRPTaxInclusive,bit,,YES
ItemMaster,ItemDesc,varchar,60,YES
ItemMaster,ExtDescPresent,bit,,YES
ItemMaster,RegularInd,varchar,2,YES
ItemMaster,ReordLvl,real,,YES
ItemMaster,EOQ,real,,YES
ItemMaster,MinOrdQty,real,,YES
ItemMaster,LastPurchPrice,money,,YES
ItemMaster,CurrentCost,money,,YES
ItemMaster,JwlMetalInd,varchar,2,YES
ItemMaster,JwlCaratage,int,,YES
ItemMaster,JwlGrossWt,real,,YES
ItemMaster,JwlStoneWt,real,,YES
ItemMaster,JwlWtFactor,real,,YES
ItemMaster,JwlRateFactor,money,,YES
ItemMaster,JwlStoneVal,money,,YES
ItemMaster,JwlMakeCharge,money,,YES
ItemMaster,JwlValFactor,money,,YES
ItemMaster,AnalCode1,varchar,16,YES
ItemMaster,AnalCode2,varchar,16,YES
ItemMaster,AnalCode3,varchar,16,YES
ItemMaster,AnalCode4,varchar,16,YES
ItemMaster,AnalCode5,varchar,16,YES
ItemMaster,AnalCode6,varchar,16,YES
ItemMaster,AnalCode7,varchar,16,YES
ItemMaster,AnalCode8,varchar,16,YES
ItemMaster,AnalCode9,varchar,16,YES
ItemMaster,AnalCode10,varchar,16,YES
ItemMaster,AnalCode11,varchar,16,YES
ItemMaster,AnalCode12,varchar,16,YES
ItemMaster,AnalCode13,varchar,16,YES
ItemMaster,AnalCode14,varchar,16,YES
ItemMaster,AnalCode15,varchar,16,YES
ItemMaster,AnalCode16,varchar,16,YES
ItemMaster,AnalCode17,varchar,16,YES
ItemMaster,AnalCode18,varchar,16,YES
ItemMaster,AnalCode19,varchar,16,YES
ItemMaster,AnalCode20,varchar,16,YES
ItemMaster,AnalCode21,varchar,16,YES
ItemMaster,AnalCode22,varchar,16,YES
ItemMaster,AnalCode23,varchar,16,YES
ItemMaster,AnalCode24,varchar,16,YES
ItemMaster,AnalCode25,varchar,16,YES
ItemMaster,AnalCode26,varchar,16,YES
ItemMaster,AnalCode27,varchar,16,YES
ItemMaster,AnalCode28,varchar,16,YES
ItemMaster,AnalCode29,varchar,16,YES
ItemMaster,AnalCode30,varchar,16,YES
ItemMaster,AnalCode31,varchar,16,YES
ItemMaster,AnalCode32,varchar,16,YES
ItemMaster,MfgDate,datetime,,YES
ItemMaster,ExpDate,datetime,,YES
ItemMaster,ShelfLife,int,,YES
ItemMaster,ImagePresent,bit,,YES
ItemMaster,IsBillable,bit,,YES
ItemMaster,IsService,bit,,YES
ItemMaster,RtlMarkUp,money,,YES
ItemMaster,DlrMarkUp,money,,YES
ItemMaster,VAUid,varchar,32,YES
ItemMaster,VActr,int,,YES
ItemMaster,VATermId,varchar,32,YES
ItemMaster,VACompCode,varchar,16,YES
ItemMaster,CCStockNo,varchar,40,YES
ItemMaster,GradeCd,varchar,16,YES
ItemMaster,ImageID,varchar,256,YES
ItemMaster,SField1,varchar,8,YES
ItemMaster,SField2,varchar,8,YES
ItemMaster,SField3,varchar,8,YES
ItemMaster,SField4,varchar,8,YES
ItemMaster,SField5,varchar,8,YES
ItemMaster,NField1,int,,YES
ItemMaster,NField2,int,,YES
ItemMaster,NField3,int,,YES
