TableName,IndexName,type_desc
ExpectedTrnDtls,IX_ExptStockno,NONCLUSTERED
ItemMaster,INDX_IM_C12345,NONCLUSTERED
POSCashTrn,INDX_POS_SSTLINK,NONCLUSTERED
PromoMnIntermediate,IX_PromoCode,NONCLUSTERED
PromoMnIntermediate,IX_Stockno,NONCLUSTERED
SaleTrnHdr,INDX_SST_DOCDT,NONCLUSTERED
SaleTrnHdr,INDX_SST_DOCNOSRS,NONCLUSTERED
SaleTrnHdr,INDX_SST_POSLINK,NONCLUSTERED
StkTrnDtls,INDX_STD_DOCDt,NONCLUSTERED
StkTrnDtls,INDX_STD_DocNoSrs,NONCLUSTERED
StkTrnHdr,INDX_STH_DOCDt,NONCLUSTERED
StkTrnHdr,INDX_STH_DocNoSrs,NONCLUSTERED
