TABLE_NAME,COLUMN_NAME,DATA_TYPE
Customers,Nm,varchar
Customers,MailListSrlNo,int
Customers,PriceGrp,varchar
Customers,CustClass1,varchar
Customers,CustClass2,varchar
Customers,CustClass3,varchar
Customers,CustClass4,varchar
Customers,CustClass5,varchar
Customers,CustProf1,varchar
Customers,CustProf2,varchar
Customers,CustProf3,varchar
Customers,CustProf4,varchar
Customers,CustProf5,varchar
Customers,IsASubOrdinate,bit
Customers,HasSubOrdinates,bit
Customers,AttachedToCd,varchar
Customers,ApplySuperAddress,bit
Customers,IsMale,smallint
Customers,BirthDate,datetime
Customers,IsMaried,smallint
Customers,WedAnniv,datetime
Customers,LoyaltyPgmId,varchar
Customers,LoyaltyPgmCd,varchar
Customers,LSTNo,varchar
Customers,CSTNo,varchar
Customers,DestTaxType,varchar
Customers,ModeOfTrans,varchar
Customers,TransCode,varchar
Customers,BankCd,varchar
Customers,BankLoc,varchar
Customers,PaymtCat,varchar
Customers,PaymtTerms,varchar
Customers,CreditDays,int
Customers,CreditLimit,money
Customers,TransitDays,int
Customers,SHOPERComp,varchar
Customers,SHOPERVer,varchar
Customers,IsSHOPERTaxInc,bit
Customers,Retail_Factor,money
Customers,Retail_RoundOff,money
Customers,Dealer_Factor,money
Customers,Dealer_RoundOff,money
Customers,AllowCreditInvoice,bit
Customers,AllowCashBill,bit
Customers,AllowMiscIssue,bit
Customers,AllowDCGen,bit
Customers,AllowMiscRcpt,bit
Customers,PresaleTaxFormYes,bit
Customers,PreSaleTaxFormNm,varchar
Customers,PostSaleTaxFormYes,bit
Customers,PostSaleTaxFormNm,varchar
Customers,DtOfCreation,datetime
Customers,VAUid,varchar
Customers,VActr,int
Customers,VATermId,varchar
Customers,VACompCode,varchar
Customers,CreditUsed,money
Customers,SHOPERDelimiter,varchar
Customers,SHOPEREnv,varchar
Customers,SrcTaxType,varchar
Customers,LSTDate,datetime
Customers,CSTDate,datetime
Customers,TransAllowed,int
Customers,IsConsignmentItem,bit
Customers,POApplicable,int
Customers,Lastupdateddate,datetime
Customers,WSLink,varchar
Customers,WSUserName,varchar
Customers,WSPassword,varchar
Customers,WSSSL,smallint
ItemMaster,Class1Cd,varchar
ItemMaster,Class2Cd,varchar
ItemMaster,SubClass1Cd,varchar
ItemMaster,SubClass2Cd,varchar
ItemMaster,SizeCd,varchar
ItemMaster,LeastSalableQty,money
ItemMaster,UseJwlPricing,bit
ItemMaster,Retail_Price,money
