TABLE_NAME,COLUMN_NAME
AcceptDisplayDtls,Index
AcceptDisplayDtls,trntype
AccountsMaster,Code
AccountsMaster,Type
AccountSummary,Code
AccountSummary,MonthNo
AccountSummary,Type
AccountSummary,Yr
ActualScheduleTask,ShowroomCode
ActualScheduleTask,Task_Id
ActualScheduleTask,Task_Location
ActualScheduleTask,Task_SubNo
AdditionalChargeDtls,AddnlChrgCd
AdditionalChargeDtls,PayModeCode
AdditionalChargeDtls,SchemeCode
AgencyCatDtl,AgencyCode
AgencyCatDtl,PayModeCode
AgencyCatDtl,PayModeType
AgencyCatHdr,AgencyId
AgentActivity,ActvIndex
AgentActivity,HOcompcd
AgentActivity,Task_Id
BaleDtl,BaleNo
BaleDtl,DCDate
BaleDtl,DCNo
BaleDtl,SuppCd
BaseCompTemplate,TMPLIDNO
BillDueStatusDtls,DestCompCode
BillDueStatusDtls,RecvTrnCtrlNo
BillDueStatusDtls,RecvTrnSrlNo
BillDueStatusDtls,RecvTrnType
BillDueStatusDtls,SourceCompCode
BillDueStatusHdr,DestCompCode
BillDueStatusHdr,SourceCompCode
BillDueStatusHdr,TrnCtrlNo
BillDueStatusHdr,Trntype
BillPassdtls,Srlno
BillPassdtls,TrnCtrlNo
BillPassdtls,TrnType
BillPassHdr,TrnCtrlNo
BillPassHdr,TrnType
CatalogSettings,AppName
CatalogSettings,FldName
CatalogSettings,FormName
CatalogSettings,PgmOption
CatalogSettings,ShoperEnvType
CatalogSettings,UserId
ChainStores,Code
Class12Combo,Class1Cd
Class12Combo,Class2Cd
Class12LocWise,Class1Cd
Class12LocWise,Class2Cd
CommConfig,Mode
CommConfig,SyncType
ConFinSchemeDtls,PayModeCode
ConFinSchemeDtls,PayModeType
ConFinSchemeDtls,SchemeCode
crdtinvrcvdtls,recvctrlno
crdtinvrcvdtls,recvdocdt
crdtinvrcvdtls,recvsrlno
crdtinvrcvdtls,recvtrntype
crdtinvrcvhdr,recvctrlno
crdtinvrcvhdr,recvdocdt
crdtinvrcvhdr,recvsrlno
crdtinvrcvhdr,recvtrntype
crdtsalecustopbal,srlno
crdtsalecustopbal,trnctrlno
crdtsalecustopbal,trndt
crdtsalecustopbal,trntype
CRMFinalCustomer,QrySrlNo
CRMFinalCustomer,QueryId
CRMQryInfo,QueryId
CrmQryStruc,QrySrlNo
CrmQryStruc,QueryId
CurrencyCat,Code
CurrencyDenomination,Code
CurrencyDenomination,SrlNo
Customers,Code
CustPriceGroups,PriceGrpCd
DashBoardConfig,ChartAreaCD
DashBoardConfig,ParamCD
DashBoardConfig,UserID
Datasyncconfig,HOcompcd
DayBeginPgms,PgmIndex
DayEndPgms,PgmIndex
dbtuningconfig,srlno
dbtuningconfig,type
DcRefNoDtls,DcDate
DcRefNoDtls,DcNo
DcRefNoDtls,SuppCd
DeliveryAdviceDtls,DestCompCode
DeliveryAdviceDtls,EntSrlNo
DeliveryAdviceDtls,ItemTagSrlNo
DeliveryAdviceDtls,SourceCompCode
DeliveryAdviceDtls,TrnCtrlNo
DeliveryAdviceDtls,TrnType
DeliveryAdviceHdr,DocNo
DeliveryAdviceHdr,DocNoPrefix
DeliveryAdviceHdr,SourceCompCode
DeliveryAdviceHdr,TrnCtrlNo
DeliveryAdviceHdr,TrnType
DeliveryNoteDtls,EntSrlNo
DeliveryNoteDtls,TrnCtrlNo
DeliveryNoteDtls,TrnType
DeliveryNoteDtlsExtd01,DestCompCode
DeliveryNoteDtlsExtd01,EntSrlNo
DeliveryNoteDtlsExtd01,ItemTagSrlNo
DeliveryNoteDtlsExtd01,SourceCompCode
DeliveryNoteDtlsExtd01,TrnCtrlNo
DeliveryNoteDtlsExtd01,TrnType
DeliveryNoteHdr,TrnCtrlNo
DeliveryNoteHdr,TrnType
