TableName,RowCounts
EventExtnFieldConfig,4296
AcceptDisplayDtls,2349
BaseCompTemplate,1669
GenLookUp,1211
TransactionComponentsDtls,1169
SysParam,1048
SysParamExtd,1040
TallyPrintConfigDetails,765
tmpSysParamsuper,548
VersionwiseTblsScript,512
ShoperScriptUpdateInfo,332
Errole,282
SysParamLookUp,270
SizeEntryFieldsConfig,136
ItemMasterConfig,126
ItemReClassConfig,123
PrefixTrnNo,90
PrefixMaster,89
GenLookupExtd,86
TempIMConfigDefValsuper,86
dbtuningconfig,80
ExtensionConfigTable,78
PaymodeAcceptDisplayDtls,75
PrintLinkedRefLookUp,55
PrefixConfig,49
PDTFieldConfig,39
TempIMConfigsuper,37
PrintNodeTrnConfigMaster,35
TillAcceptDisplaydtls,33
SPDefSettings,30
DashBoardConfig,30
HotKeys,29
TallyPrintConfigHeader,28
PriceRangeSettings,25
VersionDtls,23
TempBatchParam,21
ReportDates,17
PrintLinkedRefInterface,16
PrintRendererMaster,13
PayModeConfig,13
CatalogSettings,13
PrintBusinessHandlerMaster,11
PrintConfigSetting,9
AgentActivity,7
CurrencyDenomination,7
TempSysparamsuper,7
TempWhParams,7
SizeCat,6
PgmWiseFeatureDtls,6
ExciseDutyComponents,5
TmpClass12Size,5
POSPayModes,4
PrefixTerminalGroups,3
PrintConfigSettingMaster,3
FeatureIntroDtls,3
DayEndPgms,2
CustPriceGroups,2
paymodeacceptconfig,2
PayTermsCat,1
ItemMaster,1
MailingList,1
CurrencyCat,1
Class12Combo,1
DayBeginPgms,1
ExtdMailingList,1
UserWiseItemConfig,1
VendorItems,1
Vendors,1
SubClass1Cat,1
SubClass2Cat,1
StockMaster,1
StockMasterExtd,0
StockMasterExtd01,0
StockMasterExtd02,0
StockMasterExtdOpBal,0
StockTrnSummary,0
ShrmScript,0
ShrmScriptExtd,0
SISStatus,0
TallyExportedTrans,0
TallyHSNRules,0
TallyMapPurchTaxCat,0
TallyMapSettingInfo,0
TallyMasterInfo,0
TallyPostingSettings,0
RptSelFileName,0
SalesFactors,0
SalesTaxCat,0
SalesTaxRevision,0
SalesTaxRevisionHistory,0
SaleTrnHdr,0
SchemesDefinitionDtls,0
SchemesDefinitionHdr,0
SchemesPointsSlabs,0
SeasonsMaster,0
SeasonsMasterLog,0
StkTrnAddlDtls,0
StkTrnAddlHdr,0
StkTrnDtls,0
StkTrnDtlsExtd01,0
StkTrnEDDtls,0
StkTrnEDhdr,0
StkTrnHdr,0
StockCreditNote,0
PrintTemplateConfigDtls,0
PromoArApplCustDtls,0
PromoArBillLvlDiscDtls,0
PromoArBuyItemGrpDtls,0
PromoArGetItemGrpDtls,0
PromoArHeader,0
PromoArItemLvlDiscDtls,0
PromoArShowroomDtls,0
PromoLogApplCustDtls,0
PromoLogBillLvlDiscDtls,0
PromoLogBuyItemGrpDtls,0
PromoLogGetItemGrpDtls,0
PromoLogHeader,0
PromoLogItemLvlDiscDtls,0
PromoLogShowroomDtls,0
